site_id,date,precip_mm,tmin_c,tmax_c,awnd,snow,snwd_mm,source
01646500,2018-01-01,0.0,-10.5,-3.2,5.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-02,0.0,-10.5,-3.2,3.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-03,0.0,-10.5,1.7,1.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-04,2.5,-8.8,-2.7,8.9,20.0,30.0,NOAA_CDO_GHCND
01646500,2018-01-05,0.0,-10.5,-6.0,7.0,0.0,30.0,NOAA_CDO_GHCND
01646500,2018-01-06,0.0,-11.6,-6.0,6.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-07,0.0,-13.2,-4.9,4.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-08,1.5,-7.1,3.9,3.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-09,0.0,-1.0,10.6,2.4,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-10,0.0,-2.7,6.1,1.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-11,0.0,3.3,16.7,2.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-12,9.4,13.9,17.8,5.4,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-13,2.8,-6.0,16.7,8.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-14,0.0,-8.2,-2.1,5.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-15,0.0,-7.7,0.0,3.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-16,0.0,-1.0,6.1,1.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-17,0.8,-6.6,2.8,7.1,10.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-18,0.0,-7.1,8.3,4.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-19,0.0,-3.8,10.6,2.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-20,0.0,-2.1,17.2,2.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-21,0.0,0.0,16.1,2.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-22,0.0,8.3,18.3,3.6,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-23,2.8,8.3,20.0,5.3,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-24,0.0,1.7,8.9,5.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-25,0.0,-0.5,5.6,4.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-26,0.0,-2.1,10.0,2.3,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-27,0.0,3.3,17.2,5.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-28,4.1,8.3,13.9,3.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-29,0.0,5.0,8.9,4.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-30,0.0,-4.3,5.0,7.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-01-31,0.0,-6.0,5.0,4.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-01,0.5,4.4,12.2,4.6,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-02,1.0,-7.1,6.1,6.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-03,0.0,-8.2,2.2,4.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-04,28.4,0.6,2.8,3.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-05,0.0,-2.7,3.9,4.4,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-06,0.0,-2.1,6.1,2.6,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-07,12.4,0.6,6.1,3.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-08,0.0,-3.2,3.3,4.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-09,0.0,-2.7,7.8,2.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-10,26.9,3.9,10.0,2.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-11,26.7,7.2,20.0,3.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-12,2.3,2.8,18.3,5.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-13,0.0,0.6,6.1,3.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-14,0.8,1.1,11.7,3.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-15,0.3,8.3,23.3,4.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-16,1.3,4.4,19.4,5.6,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-17,10.7,1.1,6.7,3.7,5.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-18,0.0,0.6,10.6,2.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-19,0.5,4.4,10.0,3.4,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-20,0.0,9.4,25.6,5.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-21,0.0,13.3,27.8,5.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-22,1.5,6.1,19.4,5.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-23,0.0,5.0,8.9,2.6,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-24,4.1,8.9,11.7,2.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-25,4.3,8.3,12.2,1.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-26,0.0,5.0,11.7,3.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-27,0.0,2.2,14.4,2.9,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-02-28,0.0,6.7,17.8,4.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-01,2.3,9.4,15.0,2.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-02,0.3,3.9,12.2,13.4,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-03,0.0,2.2,11.7,9.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-04,0.0,1.7,11.7,7.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-05,0.0,-0.5,9.4,5.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-06,7.6,0.6,7.8,3.2,10.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-07,0.8,1.1,10.6,5.4,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-08,0.0,1.1,7.8,5.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-09,0.0,0.6,7.8,5.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-10,0.0,-0.5,9.4,3.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-11,0.0,-0.5,11.1,2.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-12,0.3,1.1,7.8,5.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-13,0.0,0.6,8.3,7.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-14,0.0,0.0,6.7,7.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-15,0.0,-0.5,12.8,5.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-16,0.0,1.1,8.3,5.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-17,0.0,0.0,7.8,2.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-18,0.0,1.1,15.0,3.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-19,0.0,2.2,13.3,3.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-20,22.1,0.0,6.1,6.7,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-21,12.4,0.0,2.2,6.3,104.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-22,0.0,1.1,9.4,7.0,0.0,50.0,NOAA_CDO_GHCND
01646500,2018-03-23,0.0,1.7,10.6,7.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-24,0.0,0.6,11.1,3.3,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-25,0.0,1.1,8.9,5.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-26,0.0,1.1,10.0,3.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-27,0.5,1.1,8.9,3.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-28,2.5,6.1,14.4,2.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-29,0.0,8.9,25.6,3.3,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-30,0.0,7.2,25.0,7.2,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-03-31,0.0,3.9,16.1,5.1,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-01,0.0,10.0,19.4,4.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-02,0.5,5.6,12.2,4.5,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-03,0.3,6.7,13.3,3.3,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-04,0.0,5.6,22.8,7.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-05,0.0,1.1,13.3,4.8,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-06,0.0,6.7,22.2,6.0,0.0,0.0,NOAA_CDO_GHCND
01646500,2018-04-07,0.0,2.8,19.4,5.9,0.0,0.0,NOAA_CDO_GHCND
