STATION,NAME,DATE,PRCP,TMAX,TMIN,AWND,SNOW,SNWD
GHCND:USW00014735,GHCND:USW00014735,2018-01-01,0.0,-11.6,-23.2,2.4,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-02,0.0,-6.6,-19.9,2.6,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-03,0.0,-5.5,-13.8,3.0,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-04,6.9,-5.5,-9.9,5.6,124.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-05,0.0,-9.9,-16.0,8.9,0.0,130.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-06,0.0,-13.8,-18.8,8.4,0.0,130.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-07,0.0,-8.8,-22.7,3.2,0.0,130.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-08,0.3,-2.7,-8.8,6.1,5.0,130.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-09,0.0,2.8,-4.3,4.7,0.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-10,0.0,3.3,-12.1,3.0,0.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-11,0.0,10.6,2.8,5.1,0.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-12,16.0,17.2,3.9,6.3,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-13,9.9,3.9,-13.2,7.3,20.0,30.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-14,0.0,-8.8,-16.0,3.2,0.0,30.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-15,0.0,-6.0,-14.9,1.9,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-16,3.0,-1.0,-9.9,1.3,48.0,30.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-17,4.6,-2.1,-13.8,3.0,124.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-18,0.0,-4.3,-16.6,3.2,0.0,130.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-19,0.0,-1.0,-11.0,1.6,0.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-20,0.0,7.8,-3.8,3.6,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-21,0.0,6.1,-1.6,2.1,0.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-22,2.3,3.9,0.6,2.1,0.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-23,17.5,8.9,2.8,3.4,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-24,0.0,5.0,-7.7,7.4,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-25,0.0,-3.8,-9.9,5.4,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-26,0.0,0.0,-12.7,2.0,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-27,0.0,8.9,-1.6,5.7,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-28,0.0,9.4,-1.6,2.5,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-29,0.0,3.9,-3.2,2.9,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-30,0.3,-2.1,-7.8,4.6,3.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-01-31,0.0,-1.0,-9.3,4.8,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-01,0.5,3.9,-2.1,5.2,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-02,0.3,1.1,-13.8,8.1,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-03,0.0,-1.6,-14.9,4.3,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-04,7.1,1.1,-2.7,5.4,48.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-05,0.0,1.1,-11.0,5.8,0.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-06,0.0,-1.0,-9.3,2.9,0.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-07,17.0,-2.7,-10.5,1.8,157.0,30.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-08,0.0,-3.2,-11.6,3.6,0.0,180.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-09,0.0,-1.0,-16.6,2.7,5.0,150.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-10,4.6,6.1,-1.0,4.1,0.0,150.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-11,6.9,2.8,-1.6,2.2,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-12,0.0,3.3,-5.5,7.3,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-13,0.0,-1.0,-9.3,2.2,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-14,0.0,7.2,-2.1,4.0,0.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-15,0.0,11.7,-1.0,3.2,0.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-16,1.0,8.3,-2.1,4.0,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-17,1.0,2.2,-4.9,3.9,15.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-18,1.3,4.4,-4.9,3.4,30.0,50.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-19,6.4,6.7,-4.9,6.0,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-20,1.3,17.2,6.1,4.9,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-21,0.0,22.8,4.4,5.5,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-22,7.4,4.4,-6.0,2.6,99.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-23,7.1,2.8,-7.1,4.2,0.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-24,0.0,7.8,1.1,2.8,0.0,30.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-25,16.3,5.6,0.0,3.6,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-26,0.0,10.6,0.0,4.0,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-27,0.0,13.3,-2.1,2.5,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-02-28,0.3,15.6,0.0,3.4,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-01,0.0,10.0,1.7,3.8,0.0,0.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-02,27.4,1.7,0.0,6.4,302.0,200.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-03,0.0,5.6,0.0,4.8,0.0,230.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-04,0.0,3.3,0.0,5.7,0.0,130.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-05,0.0,3.3,-0.5,4.4,0.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-06,0.0,7.2,-4.9,1.4,0.0,100.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-07,16.5,2.2,-0.5,3.1,213.0,80.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-08,3.3,1.7,-1.6,5.0,89.0,330.0
GHCND:USW00014735,GHCND:USW00014735,2018-03-09,1.0,2.8,-2.7,4.3,5.0,200.0
