STATION,NAME,DATE,PRCP,TMAX,TMIN,AWND,SNOW,SNWD
GHCND:USW00012916,GHCND:USW00012916,2018-01-01,0.0,1.7,-2.7,6.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-02,0.0,3.9,-3.8,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-03,0.0,6.7,-1.6,4.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-04,0.0,8.9,-2.7,2.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-05,0.0,8.3,0.0,2.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-06,0.0,14.4,-1.6,2.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-07,6.1,18.9,8.9,6.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-08,31.8,18.3,12.8,3.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-09,0.3,14.4,11.1,2.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-10,7.1,23.3,13.9,4.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-11,11.9,23.9,16.1,3.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-12,0.3,16.7,2.2,6.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-13,0.0,7.8,1.1,5.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-14,0.0,9.4,-0.5,2.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-15,0.0,14.4,-0.5,1.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-16,1.3,7.8,-3.2,5.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-17,0.0,1.7,-6.6,5.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-18,0.0,6.1,-2.7,2.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-19,0.0,15.0,-2.1,1.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-20,0.5,21.7,5.0,4.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-21,0.0,23.3,10.0,4.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-22,0.0,23.9,12.8,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-23,0.0,18.3,5.6,4.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-24,0.0,12.8,5.6,1.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-25,0.0,16.1,3.3,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-26,0.5,21.7,8.3,4.5,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-27,55.9,18.3,13.3,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-28,0.0,18.3,13.9,3.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-29,0.0,18.3,10.0,4.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-30,0.0,12.8,3.9,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-01-31,0.0,18.9,2.8,2.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-01,0.0,24.4,12.2,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-02,1.8,18.3,9.4,5.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-03,4.8,17.8,6.7,4.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-04,3.6,21.7,12.2,3.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-05,0.0,20.0,10.6,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-06,1.5,22.2,13.9,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-07,12.7,26.7,8.9,4.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-08,0.3,18.3,8.3,4.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-09,0.0,25.0,13.3,3.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-10,2.0,25.0,18.9,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-11,10.7,26.1,14.4,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-12,0.3,14.4,8.3,4.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-13,0.0,23.3,10.0,3.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-14,0.0,27.2,15.6,3.5,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-15,0.0,28.3,18.3,3.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-16,0.0,28.3,19.4,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-17,0.0,27.8,17.2,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-18,0.0,26.7,18.3,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-19,0.0,27.8,17.2,4.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-20,0.0,28.3,21.1,5.5,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-21,0.0,28.9,21.1,5.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-22,0.0,28.9,21.7,5.2,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-23,21.3,27.8,20.6,3.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-24,0.0,27.8,20.0,4.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-25,3.3,23.3,17.8,4.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-26,16.3,23.9,16.7,4.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-27,0.0,24.4,18.3,4.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-02-28,0.0,28.3,20.0,4.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-01,0.0,28.9,18.3,5.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-02,0.0,21.7,15.6,4.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-03,0.0,22.2,11.1,3.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-04,0.0,24.4,9.4,2.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-05,0.0,25.6,13.9,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-06,27.2,20.6,11.7,3.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-07,0.0,16.7,10.6,4.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-08,0.0,17.8,8.3,2.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-09,0.0,20.0,6.1,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-10,1.3,25.0,13.9,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-11,15.0,21.7,15.6,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-12,0.0,17.2,10.0,6.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-13,0.0,17.8,10.0,3.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-14,0.0,18.9,6.7,2.2,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-15,0.0,21.1,5.0,2.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-16,0.0,25.0,15.6,3.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-17,0.8,27.2,17.2,2.5,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-18,0.5,28.3,19.4,2.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-19,0.0,28.9,20.6,4.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-20,0.0,21.1,12.2,4.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-21,0.0,21.1,7.2,3.2,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-22,0.0,21.7,8.9,2.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-23,0.0,23.3,10.0,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-24,0.0,26.7,17.8,4.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-25,0.0,28.9,18.3,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-26,0.0,28.3,18.9,5.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-27,0.0,27.8,20.6,7.2,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-28,0.0,27.2,21.7,6.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-29,31.5,25.0,16.1,3.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-30,0.0,23.3,16.1,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-03-31,0.0,23.3,15.0,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-01,0.0,24.4,13.3,2.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-02,0.0,27.8,17.2,3.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-03,0.0,28.3,21.1,4.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-04,17.5,23.3,15.0,4.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-05,0.0,22.2,13.3,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-06,0.0,26.1,15.0,4.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-07,19.3,22.8,10.6,4.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-08,0.5,15.0,10.0,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-09,0.0,21.1,15.0,3.0,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-10,0.0,24.4,16.7,4.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-11,0.0,23.9,13.3,2.5,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-12,0.0,25.0,11.7,3.7,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-13,0.0,27.8,17.2,6.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-14,101.1,25.0,13.3,6.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-15,0.0,16.7,10.0,5.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-16,0.0,21.7,7.8,3.4,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-17,0.0,25.6,11.1,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-18,0.0,27.8,16.7,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-19,0.0,25.0,15.6,4.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-20,0.0,20.6,12.2,3.6,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-21,0.0,26.1,12.2,4.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-22,8.6,27.8,16.7,5.9,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-23,0.0,23.9,12.2,3.8,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-24,0.0,26.7,14.4,3.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-25,0.0,28.3,13.9,2.2,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-26,0.8,23.3,16.7,4.3,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-27,0.0,25.0,16.1,3.1,,
GHCND:USW00012916,GHCND:USW00012916,2018-04-28,0.0,27.8,13.3,1.7,,
