STATION,NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00012960,GHCND:USW00012960,2018-01-01,0.0,5.0,-1.0
GHCND:USW00012960,GHCND:USW00012960,2018-01-02,0.0,1.1,-1.6
GHCND:USW00012960,GHCND:USW00012960,2018-01-03,0.0,8.9,-3.8
GHCND:USW00012960,GHCND:USW00012960,2018-01-04,0.0,12.8,-3.2
GHCND:USW00012960,GHCND:USW00012960,2018-01-05,0.0,13.9,1.7
GHCND:USW00012960,GHCND:USW00012960,2018-01-06,0.0,18.9,0.6
GHCND:USW00012960,GHCND:USW00012960,2018-01-07,6.1,20.6,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-01-08,2.3,18.9,7.8
GHCND:USW00012960,GHCND:USW00012960,2018-01-09,0.0,12.2,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-01-10,0.0,17.2,11.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-11,24.6,20.6,4.4
GHCND:USW00012960,GHCND:USW00012960,2018-01-12,0.0,9.4,-0.5
GHCND:USW00012960,GHCND:USW00012960,2018-01-13,0.0,11.7,-1.0
GHCND:USW00012960,GHCND:USW00012960,2018-01-14,0.0,12.8,-2.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-15,0.0,19.4,1.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-16,8.9,12.2,-3.8
GHCND:USW00012960,GHCND:USW00012960,2018-01-17,0.0,3.9,-7.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-18,0.0,3.3,-6.0
GHCND:USW00012960,GHCND:USW00012960,2018-01-19,0.5,13.9,1.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-20,1.8,22.8,11.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-21,13.2,23.9,18.3
GHCND:USW00012960,GHCND:USW00012960,2018-01-22,2.0,21.1,6.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-23,0.0,18.3,3.3
GHCND:USW00012960,GHCND:USW00012960,2018-01-24,0.0,18.9,3.3
GHCND:USW00012960,GHCND:USW00012960,2018-01-25,0.0,16.7,0.6
GHCND:USW00012960,GHCND:USW00012960,2018-01-26,0.0,21.1,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-01-27,18.3,18.9,14.4
GHCND:USW00012960,GHCND:USW00012960,2018-01-28,0.0,21.1,11.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-29,0.0,19.4,6.1
GHCND:USW00012960,GHCND:USW00012960,2018-01-30,0.0,16.7,3.3
GHCND:USW00012960,GHCND:USW00012960,2018-01-31,0.0,21.7,1.7
GHCND:USW00012960,GHCND:USW00012960,2018-02-01,0.0,26.1,10.0
GHCND:USW00012960,GHCND:USW00012960,2018-02-02,0.0,16.7,8.3
GHCND:USW00012960,GHCND:USW00012960,2018-02-03,1.0,13.3,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-02-04,0.0,20.0,13.3
GHCND:USW00012960,GHCND:USW00012960,2018-02-05,0.0,16.1,10.0
GHCND:USW00012960,GHCND:USW00012960,2018-02-06,2.0,23.9,13.3
GHCND:USW00012960,GHCND:USW00012960,2018-02-07,7.9,13.9,6.1
GHCND:USW00012960,GHCND:USW00012960,2018-02-08,0.0,15.6,2.8
GHCND:USW00012960,GHCND:USW00012960,2018-02-09,1.3,22.2,12.2
GHCND:USW00012960,GHCND:USW00012960,2018-02-10,41.1,22.2,8.9
GHCND:USW00012960,GHCND:USW00012960,2018-02-11,0.0,8.9,3.3
GHCND:USW00012960,GHCND:USW00012960,2018-02-12,0.0,7.8,2.2
GHCND:USW00012960,GHCND:USW00012960,2018-02-13,15.2,12.2,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-02-14,0.3,26.7,11.1
GHCND:USW00012960,GHCND:USW00012960,2018-02-15,0.0,27.2,20.6
GHCND:USW00012960,GHCND:USW00012960,2018-02-16,0.0,26.7,18.3
GHCND:USW00012960,GHCND:USW00012960,2018-02-17,0.0,25.0,15.0
GHCND:USW00012960,GHCND:USW00012960,2018-02-18,0.0,26.1,15.0
GHCND:USW00012960,GHCND:USW00012960,2018-02-19,0.0,26.7,20.6
GHCND:USW00012960,GHCND:USW00012960,2018-02-20,0.0,26.7,21.7
GHCND:USW00012960,GHCND:USW00012960,2018-02-21,40.1,23.9,10.6
GHCND:USW00012960,GHCND:USW00012960,2018-02-22,6.6,21.1,10.0
GHCND:USW00012960,GHCND:USW00012960,2018-02-23,0.0,26.7,13.9
GHCND:USW00012960,GHCND:USW00012960,2018-02-24,0.3,27.2,22.8
GHCND:USW00012960,GHCND:USW00012960,2018-02-25,29.7,22.8,12.8
GHCND:USW00012960,GHCND:USW00012960,2018-02-26,0.0,21.7,11.7
GHCND:USW00012960,GHCND:USW00012960,2018-02-27,0.0,27.2,15.6
GHCND:USW00012960,GHCND:USW00012960,2018-02-28,0.0,28.3,22.2
GHCND:USW00012960,GHCND:USW00012960,2018-03-01,0.3,26.7,16.1
GHCND:USW00012960,GHCND:USW00012960,2018-03-02,0.0,22.8,12.8
GHCND:USW00012960,GHCND:USW00012960,2018-03-03,0.0,24.4,10.0
GHCND:USW00012960,GHCND:USW00012960,2018-03-04,0.5,25.0,18.3
GHCND:USW00012960,GHCND:USW00012960,2018-03-05,0.0,27.2,19.4
GHCND:USW00012960,GHCND:USW00012960,2018-03-06,0.0,23.3,12.2
GHCND:USW00012960,GHCND:USW00012960,2018-03-07,0.0,19.4,9.4
GHCND:USW00012960,GHCND:USW00012960,2018-03-08,0.0,19.4,8.9
GHCND:USW00012960,GHCND:USW00012960,2018-03-09,0.0,23.3,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-03-10,0.0,28.9,18.9
GHCND:USW00012960,GHCND:USW00012960,2018-03-11,0.3,26.7,14.4
GHCND:USW00012960,GHCND:USW00012960,2018-03-12,0.0,19.4,8.3
GHCND:USW00012960,GHCND:USW00012960,2018-03-13,0.0,21.7,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-03-14,0.0,22.2,6.7
GHCND:USW00012960,GHCND:USW00012960,2018-03-15,0.0,24.4,8.3
GHCND:USW00012960,GHCND:USW00012960,2018-03-16,0.0,29.4,19.4
GHCND:USW00012960,GHCND:USW00012960,2018-03-17,0.0,28.3,21.1
GHCND:USW00012960,GHCND:USW00012960,2018-03-18,0.0,28.9,20.0
GHCND:USW00012960,GHCND:USW00012960,2018-03-19,0.0,29.4,17.8
GHCND:USW00012960,GHCND:USW00012960,2018-03-20,0.0,22.2,11.1
GHCND:USW00012960,GHCND:USW00012960,2018-03-21,0.0,25.0,7.8
GHCND:USW00012960,GHCND:USW00012960,2018-03-22,0.0,23.9,9.4
GHCND:USW00012960,GHCND:USW00012960,2018-03-23,0.0,27.2,12.2
GHCND:USW00012960,GHCND:USW00012960,2018-03-24,0.0,27.8,20.6
GHCND:USW00012960,GHCND:USW00012960,2018-03-25,0.0,29.4,17.8
GHCND:USW00012960,GHCND:USW00012960,2018-03-26,0.0,28.3,20.6
GHCND:USW00012960,GHCND:USW00012960,2018-03-27,1.0,28.3,22.8
GHCND:USW00012960,GHCND:USW00012960,2018-03-28,36.1,25.0,17.8
GHCND:USW00012960,GHCND:USW00012960,2018-03-29,37.3,27.2,15.6
GHCND:USW00012960,GHCND:USW00012960,2018-03-30,0.0,25.6,13.9
GHCND:USW00012960,GHCND:USW00012960,2018-03-31,0.0,26.7,12.2
GHCND:USW00012960,GHCND:USW00012960,2018-04-01,0.0,28.3,15.0
GHCND:USW00012960,GHCND:USW00012960,2018-04-02,0.0,29.4,20.6
GHCND:USW00012960,GHCND:USW00012960,2018-04-03,0.3,29.4,18.3
GHCND:USW00012960,GHCND:USW00012960,2018-04-04,0.0,23.3,12.2
GHCND:USW00012960,GHCND:USW00012960,2018-04-05,0.0,22.8,11.7
GHCND:USW00012960,GHCND:USW00012960,2018-04-06,0.0,27.8,21.7
GHCND:USW00012960,GHCND:USW00012960,2018-04-07,7.4,23.3,8.3
GHCND:USW00012960,GHCND:USW00012960,2018-04-08,0.0,14.4,7.2
GHCND:USW00012960,GHCND:USW00012960,2018-04-09,0.8,18.3,12.2
GHCND:USW00012960,GHCND:USW00012960,2018-04-10,0.0,25.6,11.7
