site_id,site_id_str,river,date,target_multiclass,p_high_pct,pred_class
1646500,01646500,"Potomac River at Point of Rocks, MD",2024-03-04,1,40.0,1
1646500,01646500,"Potomac River at Point of Rocks, MD",2024-09-30,1,45.97,2
2087500,02087500,"Neuse River near Clayton, NC",2018-05-25,1,30.64,1
2087500,02087500,"Neuse River near Clayton, NC",2018-12-19,1,48.18,1
2087500,02087500,"Neuse River near Clayton, NC",2019-01-20,1,31.34,1
2087500,02087500,"Neuse River near Clayton, NC",2019-06-09,0,38.8,1
2087500,02087500,"Neuse River near Clayton, NC",2020-11-23,1,30.26,1
2087500,02087500,"Neuse River near Clayton, NC",2021-01-07,1,39.42,1
2087500,02087500,"Neuse River near Clayton, NC",2021-02-05,1,48.27,1
2087500,02087500,"Neuse River near Clayton, NC",2021-02-11,1,36.26,1
2087500,02087500,"Neuse River near Clayton, NC",2022-03-20,1,36.37,1
2087500,02087500,"Neuse River near Clayton, NC",2022-11-25,0,41.77,0
2087500,02087500,"Neuse River near Clayton, NC",2023-02-13,0,41.78,1
2087500,02087500,"Neuse River near Clayton, NC",2023-04-11,1,31.81,1
2087500,02087500,"Neuse River near Clayton, NC",2023-04-13,2,63.14,2
2087500,02087500,"Neuse River near Clayton, NC",2023-04-16,2,40.95,1
2087500,02087500,"Neuse River near Clayton, NC",2023-04-18,2,37.55,1
2087500,02087500,"Neuse River near Clayton, NC",2023-04-19,2,67.79,2
2087500,02087500,"Neuse River near Clayton, NC",2023-04-20,2,47.61,1
2087500,02087500,"Neuse River near Clayton, NC",2023-04-22,2,37.94,1
2087500,02087500,"Neuse River near Clayton, NC",2023-05-01,1,62.03,2
2087500,02087500,"Neuse River near Clayton, NC",2023-09-23,1,65.23,2
2087500,02087500,"Neuse River near Clayton, NC",2023-12-11,1,40.55,2
2087500,02087500,"Neuse River near Clayton, NC",2023-12-17,2,44.23,1
2087500,02087500,"Neuse River near Clayton, NC",2024-01-10,1,52.8,2
2087500,02087500,"Neuse River near Clayton, NC",2024-01-16,2,47.18,1
2087500,02087500,"Neuse River near Clayton, NC",2024-03-05,1,30.59,1
2087500,02087500,"Neuse River near Clayton, NC",2024-03-30,1,30.89,1
2087500,02087500,"Neuse River near Clayton, NC",2024-05-20,1,30.55,1
2087500,02087500,"Neuse River near Clayton, NC",2024-07-23,1,31.81,1
2087500,02087500,"Neuse River near Clayton, NC",2024-07-26,1,37.9,1
2087500,02087500,"Neuse River near Clayton, NC",2024-07-28,1,57.06,2
2087500,02087500,"Neuse River near Clayton, NC",2024-08-16,2,36.43,1
2087500,02087500,"Neuse River near Clayton, NC",2024-09-02,1,31.69,1
2087500,02087500,"Neuse River near Clayton, NC",2024-09-17,2,47.94,1
2087500,02087500,"Neuse River near Clayton, NC",2024-09-26,1,47.66,1
2087500,02087500,"Neuse River near Clayton, NC",2024-09-27,2,42.73,1
2087500,02087500,"Neuse River near Clayton, NC",2024-09-28,0,44.49,1
2087500,02087500,"Neuse River near Clayton, NC",2024-09-30,1,62.71,2
2087500,02087500,"Neuse River near Clayton, NC",2024-10-01,2,65.57,2
3015500,03015500,"Allegheny River at Eldred, PA",2018-04-15,2,63.51,2
3015500,03015500,"Allegheny River at Eldred, PA",2018-05-11,2,66.27,2
3015500,03015500,"Allegheny River at Eldred, PA",2019-04-26,2,69.93,2
3015500,03015500,"Allegheny River at Eldred, PA",2020-01-24,2,69.97,2
3015500,03015500,"Allegheny River at Eldred, PA",2021-09-23,0,43.03,2
